Observation,Date of observation,Exposure time,MJD_Time,Source coordinates (I),Median background,Bkg-subtracted aperture CPS,Flat-field coordinates,Flat-field Correction,Raw CPS (without FF),Saturation corrected CPS,Final flat-field corrected CPS,Errors for the final flat-field corrected CPS
LEVL2AS1UVT20160322T01_034T01_9000000392_uvt_06,22/03/2016,561.901,57469.57055495026,"[3078.5, 3304.2]",3.698e-05,0.765,"[336.5, 404.8]",1.012,0.756,0.864,0.875,0.042
LEVL2AS1UVT20160322T01_034T01_9000000392_uvt_05,22/03/2016,466.487,57469.62478939626,"[2882.2, 3374.5]",5.036e-05,0.78,"[316.2, 383.5]",1.005,0.777,0.888,0.892,0.046
LEVL2AS1UVT20160518G05_209T01_9000000458_uvt_09,18/05/2016,1105.032,57526.81351518808,"[3312.9, 2948.1]",3.830e-05,0.775,"[371.5, 314.4]",0.989,0.783,0.896,0.886,0.03
LEVL2AS1UVT20160915G05_258T01_9000000666_uvt_08,15/09/2016,621.101,57646.25129677522,"[2279.7, 839.1]",3.967e-05,0.863,"[286.7, 100.9]",1.048,0.823,0.942,0.988,0.042
LEVL2AS1UVT20170130C02_016T01_9000000992_uvt_01,30/01/2017,1194.736,57783.49373842642,"[1586.5, 3251.1]",3.160e-05,0.895,"[178.6, 307.9]",1.029,0.87,0.996,1.025,0.031
LEVL2AS1UVT20170416C02_030T01_9000001168_uvt_04,16/04/2017,306.51,57859.09301580091,"[2958.6, 2975.2]",4.857e-05,0.786,"[321.5, 347.9]",0.999,0.786,0.899,0.898,0.057
LEVL2AS1UVT20170416C02_030T01_9000001168_uvt_02,16/04/2017,433.197,57859.2144142548,"[3261.5, 3090.8]",4.111e-05,0.78,"[322.1, 348.0]",0.999,0.781,0.893,0.892,0.048
LEVL2AS1UVT20170416C02_030T01_9000001168_uvt_01,16/04/2017,351.78,57859.28381735264,"[3270.6, 2983.6]",4.496e-05,0.732,"[324.7, 351.8]",1.0,0.732,0.837,0.837,0.051
LEVL2AS1UVT20171221C03_015T01_9000001788_uvt_01,21/12/2017,148.589,58108.58372883913,"[1971.5, 2530.6]",4.255e-05,0.778,"[198.1, 268.0]",1.023,0.76,0.869,0.889,0.082
LEVL2AS1UVT20180222T02_002T01_9000001914_uvt_02,23/02/2018,1854.627,58172.45087022949,"[2238.0, 3129.7]",3.437e-05,0.841,"[215.6, 341.4]",1.016,0.827,0.947,0.962,0.024
LEVL2AS1UVT20180222T02_002T01_9000001914_uvt_01,23/02/2018,1038.87,58172.51376624281,"[2371.9, 3464.4]",3.304e-05,0.814,"[210.9, 334.6]",1.018,0.8,0.915,0.931,0.032
LEVL2AS1UVT20180404C03_015T02_9000002008_uvt_02,04/04/2018,430.934,58212.229058477904,"[2751.6, 2899.8]",4.054e-05,0.841,"[294.2, 339.9]",1.005,0.837,0.958,0.963,0.05
LEVL2AS1UVT20180720C03_015T04_9000002240_uvt_01,20/07/2018,1063.215,58319.75257856905,"[3527.1, 1839.0]",3.397e-05,0.819,"[383.9, 174.3]",1.0,0.819,0.937,0.937,0.031
LEVL2AS1UVT20180826C03_015T04_9000002328_uvt_03,26/08/2018,255.183,58356.10067563945,"[3024.8, 1144.2]",4.640e-05,0.867,"[332.6, 114.7]",1.028,0.843,0.965,0.992,0.066
LEVL2AS1UVT20180826C03_015T04_9000002328_uvt_02,26/08/2018,335.975,58356.21756098499,"[2960.9, 1393.3]",4.979e-05,0.856,"[331.8, 117.2]",1.026,0.835,0.955,0.98,0.057
